Product|PricePerPound|Quant|PricePerThing
Walkers Biscuits, Stem Ginger|None|5.3 ounces|4.39
Ka Me Noodles, Japanese, Curly, Chuka Soba|None|5 ounces|3.98
Cabot Cheese, New York Extra Sharp|None|8 ounces|2.96
Ka Me Bean Threads|None|3.75 ounces|2.03
Chobani Flip Nutty for 'Nana Low-Fat Greek Yogurt|None|5.3 ounces|1.73
Roland Bread Crumbs, Panko, Plain|None|7 ounces|2.65
Doritos Tortilla Chips, Cool Ranch Flavored|None|10 ounces|4.39
Maple Hill Creamery Plain Cream on Top Yogurt|None|6 ounces|1.52
Kaukauna Cheese, Spreadable, Cheddar, Port Wine|None|6.5 ounces|3.57
Haagen Dazs Ice Cream, Java Chip|None|14 ounces|5.10
Lantana Hummus, Sriracha Carrot|None|10 ounces|4.28
Tandoor Chef Medium Spiced Chicken Curry|None|9 ounces|5.61
Amy's Whole Meals Verde Enchilada|None|10 ounces|6.12
Haagen Dazs Ice Cream, Rocky Road|None|14 ounces|5.10
Walkers Shortbread, Pure Butter, Chocolate Chip|None|4.4 ounces|4.49
Fritos Flavor Twists Corn Snacks Honey BBQ|None|9.25 ounces|3.57
Tostitos Salsa, Chunky Habanero, Hot|None|15.5 ounces|4.08
Haagen Dazs Ice Cream, Vanilla Chocolate Chip|None|14 ounces|5.10
Fritos Corn Chips Scoops!|None|9.25 ounces|3.57
Fiorucci Capocollo, Hot|None|4 ounces|4.69
Gotham Greens Windy City Crunch|None|4.5 ounces|4.08
Lays Potato Chips, Barbecue Flavored, Family Size!|None|9.75 ounces|4.39
Boars Head Hummus, Fire Roasted Artichoke & Spinach|None|10 ounces|3.06
Ball Park Brat Buns, Tailgaters|None|6|4.08
Sara Lee Bread, Style, Artesano|None|20 ounces|3.57
Arnold Select Sandwich Rolls, Sesame Seeded|None|8|3.57
Boars Head Italian Dry Sausage, Superiore|None|7.5 ounces|7.15
Coco Libre Pure Organic Coconut Water|None|11 ounces|2.44
Haagen Dazs Ice Cream, Green Tea|None|14 ounces|5.10
Moreys Salmon, Smoked, Wild Keta, Peppered|None|4.5 ounces|7.05
LavAzza Coffee, Ground, Medium Roast|None|8.8 ounces|7.15
Roland Sea Salt, Coarse Crystals|None|26.4 ounces|3.57
Pataks Original Curry Paste, Concentrated, Madras, Medium|None|10 ounces|5.10
Taylor Organic Baby Romaine|None|5 ounces|3.06
Taylor Organic Sweet Baby Lettuce|None|5 ounces|3.06
Bee Sweet Clementines, Sweet|None|3 pounds|4.99
San Pellegrino Sparkling Beverage, Lemon, Limonata|None|6|6.27
Virgil's Cream Soda|None|12 ounces|1.83
Virgil's Orange Cream Soda|None|12 ounces|1.83
Montchevre Cheese, Fresh Goat, Blueberry Vanilla|None|8 ounces|6.12
El Yucateco Hot Sauce, Red Chile Habanero|None|4 fluid ounces|2.34
El Yucateco Hot Sauce, Green Chile Habanero|None|4 fluid ounces|2.34
Andrew & Everett Cheese, Shredded, Sharp Cheddar|None|8 ounces|4.49
Andrew & Everett Cheese, Fancy Shredded, Mexican Mix|None|8 ounces|4.49
Gardein Crabless Cakes, Mini Crispy|None|10|5.61
Gia Russa Bread Crumbs, Whole Grain, Unseasoned|None|10 ounces|3.26
House of Tsang Stir-Fry Sauce, Sweet & Sour|None|12 ounces|4.08
Kettle Honey Dijon Potato Chips|None|5 ounces|3.06
Muir Glen Tomatoes, Organic, Fire Roasted, Diced|None|14.5 ounces|2.34
Organic Valley Milk, Fat Free, Organic, 0% Milkfat|None|1 quart|2.99
Orangina Sparkling Citrus Beverage, with Natural Pulp|None|33.8 ounces|3.30
Siggi's Non-Fat Blueberry Yogurt|None|32 ounces|4.28
Siggi's Non-Fat Plain Drinkable Yogurt|None|32 ounces|4.28
Siggis Non-Fat Swedish Style Filmjolk Drinkable Vanilla Yogurt|None|32 ounces|4.28
Silk Soymilk, Chocolate|None|8 ounces|1.83
Udi's Everything Inside Bagels|None|14 ounces|6.12
Organic Valley Milk, Lactose Free, Whole|None|0.5 gallons|5.99
Maple Hill Creamery Vanilla Drinkable Yogurt|None|12 ounces|3.06
Maple Hill Creamery Yogurt Drinkable Wild Blueberry|None|12 ounces|3.06
So Delicious Plain Coconutmilk Yogurt Alternative|None|5.3 ounces|2.03
Banza Penne|None|8 ounces|4.49
Bobs Red Mill Graham Flour Whole Grain Stone Ground Whole Wheat|None|24 ounces|3.06
Tofurky Andouille Artisan Cajun-Style|None|14 ounces|6.12
Donkey Chips Tortilla Chips, Authentic, Unsalted|None|14 ounces|3.57
Maple Hill Creamery Yogurt, Drinkable, Maple|None|12 ounces|3.06
Mezzetta Wax Peppers, Sweet Banana|None|16 ounces|4.59
La Preferida Beans, Mexican Homestyle, Zesty|None|15 ounces|1.83
Lars Own Onions, Crispy|None|4 ounces|2.55
S & W Green Beans, Whole|None|14.5 ounces|2.44
Tumaros Low-In-Carb Wraps, Ancient Grain|None|8|4.08
Perugina Dark Chocolate, Extra, 85% Cacao|None|3.5 ounces|3.06
CoolHaus Ice Cream, Awesome, Dirty Mint Chip|None|1 pint|6.12
Jacobs Coffee, Instant|None|3.52 ounces|6.12
Yanceys Fancy Cheese, Pasteurized Process, Aged Cheddar, Roasted Garlic|None|7.6 ounces|5.10
Garlic Expressions Salad Dressing & Marinade, Classic Vinaigrette|None|12.5 ounces|4.69
Agrosik Pickles, Polish Dill|None|30 ounces|3.67
Hero Nectar, Apricot|None|1 liter|5.50
BelGioioso Burrata|None|8 ounces|5.10
BelGioioso Ricotta con Latte, Part Skim Milk|None|16 ounces|3.88
Jumex Nectar, Mango|None|11.3 ounces|1.09
Lezza Cookies, Lemon Ricotta|None|1|9.19
Embasa Peppers, Chipotle, in Adobo Sauce|None|7 ounces|3.06
Dynasty Sesame Seed Oil|None|12 ounces|9.19
Bobs Red Mill Soy Flour, 100% Whole Grain, Stone Ground|None|16 ounces|4.08
Vigo White & Wild Rice, Long Grain|None|8 ounces|2.85
Annies Macaroni & Cheese Sauce, Creamy Deluxe Whole Wheat & Cheddar|None|9.5 ounces|4.90
Sweet Home Farm Granola, Honey Nut, with Almonds|None|24 ounces|8.17
Sweet Home Farm Granola, Maple Pecan, with Real Maple Syrup|None|20.5 ounces|8.17
Weber Seasoning, Kick'n Chicken|None|5 ounces|6.12
Amish Country Popcorn, Medium White Hulless|None|32 ounces|3.36
Amish Country Popcorn, Rainbow Unique Blend|None|32 ounces|3.36
La Preferida White Hominy|None|29 ounces|2.03
Roland Sea Salt, Fine Crystals|None|26.4 ounces|3.57
Bobs Red Mill Golden Flaxseeds, Natural Raw Whole|None|24 ounces|4.18
Andys Seasoning Breading, Chicken, Mild|None|10 ounces|2.65
Jumex Nectar, Pineapple|None|11.3 ounces|1.09
Jumex Nectar, Peach|None|11.3 ounces|1.09
Swad Ginger Paste|None|7.5 ounces|4.39
Pataks Original Curry Paste, Concentrated, Tikka Masala, Medium|None|10 ounces|5.10
La Preferida Enchilada Sauce, Red Chile, Hot|None|10 ounces|2.03
Alessi Tomato Paste, Double Concentrated|None|4.9 ounces|3.06
La Preferida Pinto Beans|None|29 ounces|1.93
Figaro Liquid Smoke and Barbeque Marinade, Hickory|None|4 ounces|2.03
Figaro Liquid Smoke and Marinade, Mesquite|None|4 fluid ounces|2.03
La Preferida Enchilada Sauce, Green Chile, Medium|None|10 ounces|2.03
Hengstenberg Red Cabbage, Traditional|None|24 ounces|3.57
La Preferida Rice, Enriched, Extra Fancy, Medium Grain|None|5 pounds|5.61
La Preferida Chili Seasoning|None|1 ounce|0.91
Ritter Sport Fine Milk Chocolate, 35% Cocoa|None|3.5 ounces|4.06
Wiley Wallaby Liquorice, Gourmet Red|None|10 ounces|4.39
Wiley Wallaby Liquorice, Gourmet Black|None|10 ounces|4.39
Supremo Cheese, Chihuahua Quesadilla, Medium Picante, with Jalapeno|None|8.8 ounces|4.28
Micelis Ricotta Cheese, Low-Fat, Lite|None|15 ounces|3.36
Farmers Horseradish, Prepared, Old Fashioned|None|8.5 ounces|2.03
Lays Kettle Cooked Potato Chips, Jalapeno Flavored|None|2.75 ounces|1.52
El Ranchero Tortilla Chips, Mild Hot|None|14 ounces|3.06
El Milagro Tostadas, Corn|None|24|3.57
La Preferida Green Chiles, Mild, Whole|None|7 ounces|2.24
CoolHaus Ice Cream, Gourmet, Chocolate Chip Cookie + Tahitian Vanilla Bean Ice Cream|None|108 grams|5.10
Uptons Naturals Seitan, Ground|None|8 ounces|3.98
Annies Bunny Grahams, Chocolate|None|6 ounces|4.08
Fiorucci Prosciutto|None|3 ounces|6.43
Fiorucci Salame, Genoa, Uncured|None|4 ounces|5.31
Tumaros Healthy Flour Tortillas, Jalapeno & Cilantro|None|8|3.26
Cheetos Cheese Flavored Snacks, Crunchy|None|2 ounces|0.71
Bel Gioioso Cheese, American Grana Parmesan|None|8 ounces|5.10
Earth Balance Buttery Sticks, Soy Free|None|4|5.20
Michael Angelos Eggplant Parmesan|None|11 ounces|4.90
Boars Head Italian Dry Sausage, Superiore, Piccante|None|7.5 ounces|7.15
Cedars Hommus, Sundried Tomato Basil|None|8 ounces|2.85
Cedars Hommus, Garlic Lovers|None|16 ounces|5.41
CF Burger Heavy Whipping Cream|None|0.5 pints|2.55
CF Burger Whipping Cream, Heavy|None|1 pint|5.39
CF Burger Half & Half, Fat Free|None|1 pint|2.24
A Taste of Thai Red Curry Noodles|None|5.75 ounces|4.69
Anna Gnocchi, Potato, Mini|None|17.6 ounces|3.36
La Preferida Great Northern Beans|None|16 ounces|1.52
La Preferida Flour, Rice|None|12 ounces|1.32
La Preferida Sazon Seasoning, All Purpose|None|8 ounces|2.14
La Preferida Adobo All Purpose Seasoning, with Pepper|None|8.6 ounces|1.63
Tony Chacheres Gumbo File, Creole|None|1.25 ounces|3.06
McCanns Oatmeal, Irish, Steel Cut, Quick & Easy|None|16 ounces|7.15
Spice Supreme Mustard, Ground|None|3 ounces|1.01
Spice Supreme Garlic Salt|None|5.25 ounces|1.01
Spice Supreme Seasoned Salt|None|None|1.01
Cabot Cheese, American|None|16|3.47
Cabot Vermont Cheese, Muenster|None|None|2.96
Naked 100% Juice, Pomegranate Blueberry|None|15.2 ounces|4.08
Organic Valley Half & Half, Organic|None|0.5 gallons|6.99
Dean Jacobs Peppercorns, Black, Grinder Mill|None|2 ounces|6.02
Dean Jacobs Peppercorns, Multi-Colored, Grinder Mill|None|1.8 ounces|6.02
Dean Jacobs Sea Salt, Grinder Mill|None|3.7 ounces|4.69
Supreme Choice Swai, Boneless, Fillets|None|16 ounces|4.08
Izze Sparkling Juice, Blackberry|None|12 ounces|1.83
Izze Juice, Sparkling, Grapefruit|None|12 ounces|1.83
Izze Juice Beverage Blend, Sparkling Clementine|None|12 ounces|1.83
Izze Beverage Blend, Sparkling Pomegranate|None|12 ounces|1.83
Izze Juice Beverage, Sparkling Peach|None|12 ounces|1.83
CoolHaus Ice Cream, Awesome, Campfire S'mores|None|1 pint|6.12
Maple Hill Creamery Yogurt, Drinkable, Orange Creme|None|12 ounces|3.06
Halo Top Cookies & Cream Light Ice Cream|None|1 pint|6.12
Cocktail Tomatoes|None|None|3.99
Michigan Cottage Cheese, Large Curd|None|15 ounces|3.69
Prairie Farms Cottage Cheese, Large Curd|None|24 ounces|4.59
Haagen Dazs Spirits Ice Cream, Rum, Tres Leches|None|14 ounces|5.10
Turano Bread, Italian|None|16 ounces|4.19
CoolHaus Ice Cream Sandwich, Gimme S'Mores|None|5.8 ounces|4.79
Koia Protein Drink, Chocolate Banana|None|12 ounces|4.39
Boar's Head Hickory Smoked Black Forest Turkey Breast|9.71|None|None
Boar's Head Sopressata|11.75|None|None
Kumquat|5.99|None|None
Boar's Head Mesquite Wood Smoked Turkey Breast Roasted|9.71|None|None
Boar's Head Brand Pancetta|9.71|None|None
Boar's Head Chorizo Spanish Style Dry Cured Sausage|11.75|None|None
Chobani Yogurt, Greek, Low-Fat, Blended with Orange & Cream|None|5.3 ounces|1.01
BelGioioso Romano Cheese|None|8 ounces|5.10
Boars Head Cheese, Sharp Wisconsin Cheddar|None|10 ounces|5.10
Amy's Gluten Free Cheddar Cheese Burrito|None|5.5 ounces|3.57
Follow Your Heart Original Vegenaise Dressing & Sandwich Spread|None|32 ounces|9.19
Pretzel Crisps Deli Style Garlic Parmesan Pretzel Crackers|None|7.2 ounces|3.06
Pretzel Crisps Deli Style Buffalo Wing Pretzel Crackers|None|7.2 ounces|3.36
Pretzel Crisps Pretzel Crackers, Deli Style, Original|None|7.2 ounces|3.06
Chocolove Bar, Raspberries in Dark Chocolate|None|3.1 ounces|3.39
Chocolove Dark Chocolate, 55%|None|3.2 ounces|3.39
Chocolove Coffee Crunch, in Dark Chocolate, 55%|None|3.2 ounces|3.39
GTs Enlightened Synergy Kombucha, Organic, Raspberry Chia|None|16 ounces|3.88
Lightlife Smart Deli Veggie Bologna Slices, Meatless|None|5.5 ounces|4.08
Pastorelli Pizza Sauce, Original|None|15 ounces|2.14
Marzetti Croutons, Sea Salt & Pepper|None|5 ounces|2.03
Marzetti Croutons, Large Cut, Ranch|None|5 ounces|2.03
Lightlife Veggie Hot Dogs, Tofu Pups, The Original|None|12 ounces|5.10
Lifeway Kefir Cultured Milk Smoothie, Lowfat, Unsweetened, Plain|None|32 ounces|4.08
Senorial Sangria, Sparkling Non-Alcoholic|None|11.16 ounces|1.01
Sushi Chef Powdered Wasabi|None|None|4.08
Sushi Chef Ginger, Pickled|None|6 ounces|4.08
Chocolove Salted Peanut, in Milk Chocolate, 33% Cocoa Content|None|3.2 ounces|3.39
Manischewitz Pancake Mix, Potato|None|6 ounces|3.57
Lifeway Cheese, Premium Soft Cheese, Low Fat, No Salt Added, Farmer|None|16 ounces|4.80
Ghirardelli Chocolate, White|None|4 ounces|3.57
Lightlife Smart Sausages Sausages, Italian, Meatless|None|12 ounces|6.12
Blue Diamond Almond Breeze Almondmilk, Chocolate|None|32 ounces|3.36
GTs Enlightened Synergy Kombucha, Organic, Black Chia|None|16 ounces|3.88
Kerrygold Butter, Irish, Reduced Fat|None|8 ounces|4.08
Follow Your Heart Vegenaise Dressing & Sandwich Spread, Grapeseed|None|16 ounces|6.12
GT'S Original Organic & Raw Kombucha|None|16.2 ounces|3.88
Naked 100% Juice Smoothie, Fruit & Veggie, Bright Beets|None|15.2 ounces|4.08
Back to Nature 100% Juice, Apple|None|8|6.12
King Arthur Flour Flour, Premium, 100% Whole Wheat|None|5 pounds|10.52
Cento Bread Crumbs, Flavored|None|15 ounces|2.03
Barilla Pastina|None|12 ounces|2.24
San J Tamari, Organic|None|10 ounces|4.59
Barilla ProteinPlus Farfalle|None|14.5 ounces|3.06
Ghirardelli Chocolate, Semi-Sweet|None|4 ounces|4.08
Udis Gluten Free Hot Dog Buns, Classic|None|14.3 ounces|6.12
Mizkan Vinegar, Rice|None|12 ounces|3.06
Knorr Recipe Mix, Vegetable|None|1.4 ounces|2.03
Louisiana Fish Fry Products Fish Fry, Cajun, Crispy|None|10 ounces|2.03
Honest Black Tea, Just, Unsweetened|None|16 ounces|1.93
Perrier Sparkling Water, Natural Mineral|None|4|4.08
Tostitos Scoops! Tortilla Chips|None|10 ounces|4.39
The Laughing Cow Mini Babybel Semi-Soft Cheese, Cheddar Variety|None|6|4.08
Gia Russa Pasta Sauce, Select, Sicilian, Hot|None|24 ounces|6.64
Tostitos Bite Size Tortilla Chips|None|13 ounces|4.39
Near East Couscous Mix, Original Plain|None|10 ounces|3.06
Near East Grain Salad Mix, Tabouleh|None|5.2 ounces|3.06
RW Knudsen Very Veggie Organic 100% Juice, Original|None|32 ounces|5.10
Lantmannen Finn Crisp Crispbread, Thin Rye, Original|None|7 ounces|3.88
Bobs Red Mill Flaxseed, Raw Whole|None|24 ounces|5.61
Pomi Strained Tomatoes|None|26.46 ounces|3.77
Food For Life Ezekiel 4:9 Cereal, Crunchy, Sprouted Grain, Almond|None|16 ounces|8.68
Finn Crisp Crispbread, Thin Rye, Caraway|None|7 ounces|3.88
Food For Life Ezekiel 4:9 Crunchy Sprouted Grain Golden Flax Cereal|None|16 ounces|8.17
Montchevre Chevre Fresh Goat Cheese Cranberry Cinnamon|None|None|6.12
Pataks Curry Paste, Concentrated, Mild|None|10 ounces|5.10
Ghirardelli Baking Chips, Premium, Classic White|None|11 ounces|6.02
Pomelo|None|None|2.99
Alouette Cheese, Crumbled, Goat|None|3.5 ounces|3.98
Naked 100% Juice Smoothie, Plus with Vitamin C|None|15.2 ounces|4.08
Pataks Original Marinade, Tandoori, Mild|None|11 ounces|5.10
Stonyfield Farm Organic Yogurt, Nonfat, French Vanilla|None|32 ounces|5.00
Stonyfield Farm Organic Yogurt, Nonfat, Smooth & Creamy, Fat Free Plain|None|32 ounces|5.00
Kedem Tea Biscuits, Orange Flavor|None|4.2 ounces|0.91
Alexia Seasoned Sweet Potato Chipotle|None|None|5.10
Natures Path Organic Envirokidz Cereal, Amazon Flakes, Lightly Frosted|None|14 ounces|5.61
Bahlsen Pretzels, Puff Pastry, Delice|None|3.5 ounces|3.36
Natures Path Organic EnviroKidz Cereal, Corn Puffs, Gorilla Munch|None|10 ounces|5.61
La Preferida Organic Refried Beans, Authentic|None|15 ounces|2.03
McCormick Tartar Sauce, for Seafood, Original|None|8 ounces|3.57
Bigelow Black Tea, Cinnamon Stick, Bags|None|20|3.57
Amys Indian Mattar Paneer|None|10 ounces|6.12
Bigelow Black Tea, Classic, Plantation Mint, Bags|None|20|3.57
Pom Wonderful 100% Juice, Pomegranate|None|16 ounces|4.80
Amys Thai Curry, Red|None|10 ounces|5.92
Amys Non-Dairy Burrito|None|6 ounces|3.06
Amy's Southwestern Burrito|None|5.5 ounces|3.06
Bobs Red Mill Flour, Quinoa, Organic, Whole Grain|None|22 ounces|15.63
King Arthur Flour Flour, Whole Wheat, 100% Whole Grain|None|5 pounds|7.15
Bigelow Black Tea, Raspberry Royale, Bags|None|20|3.57
Amy's California Veggie Burger|None|4|6.12
Peanut Butter & Co Peanut Butter, The Bee's Knees|None|16 ounces|6.12
Peanut Butter & Co Peanut Butter, Dark Chocolate Dreams|None|16 ounces|6.12
Peanut Butter & Co Peanut Butter, Cinnamon Raisin Swirl|None|16 ounces|5.10
Tasty Bite Kashmir Spinach|None|10 ounces|3.57
Tasty Bite Jaipur Vegetables|None|10 ounces|3.57
Newmans Own Lemonade, Virgin, Diet|None|59 ounces|2.99
Natures Path Organic Gluten Free Selections Sunrise Crunchy Honey Cereal|None|10.6 ounces|5.51
Siggi's Strained Non-Fat Peach Yogurt|None|5.3 ounces|1.83
Galaxy Nutritional Foods Veggie Slices, Smoked Provolone Flavor|None|12|3.57
Go Veggie Cheese Food Alternative, Pasteurized Process, Pepper Jack Style Singles|None|12|3.57
Go Veggie Cheese Food Alternative, Pasteurized Process, American Style Singles|None|12|3.57
Ito En Unsweetened Jasmine Green Tea|None|16.9 ounces|2.24
Castello Cheese, Traditional, Danish Blue|None|4.4 ounces|4.39
GT'S Enlightened Synergy Organic Guava Goodness Kombucha|None|16 ounces|3.88
Brownberry Select Rolls Hot Dog|None|8|3.57
BelGioioso Mascarpone|None|16 ounces|6.12
Bolthouse Farms Yogurt Dressing, Salsa Ranch|None|14 ounces|4.08
Amys Bowls Broccoli & Cheddar Bake|None|9.5 ounces|6.12
Frontera Medium Guajillo Roasted Garlic + Tomatillo Salsa|None|16 ounces|4.08
Fage Total Nonfat Strained Greek Yogurt with Cherry Pomegranate|None|5.3 ounces|1.73
Fage Total 2% Lowfat Strained Greek Yogurt|None|7 ounces|1.73
Amys Veggie Burger, Black Bean|None|4|6.53
Brownberry Select Rolls Hamburger|None|8|3.57
Twinings Black Tea, 100% Pure, English Afternoon, Tea Bags|None|20|3.57
Sun Yun Kim Chee, Hot|None|14 ounces|3.57
Honest Green Tea, Just, Organic, Unsweetened|None|16 ounces|1.93
Honest Tea, Radiant Raspberry|None|16 ounces|1.93
Briannas Dressing, Home Style, Rich Poppy Seed|None|12 ounces|4.09
Perugina Chocolate, Bittersweet|None|3.5 ounces|3.06
Near East Whole Grain Blends Brown Rice Pilaf|None|6.17 ounces|3.06
Soy Vay Marinade & Sauce, Veri Veri Teriyaki|None|21 ounces|5.10
Perugina Dark Chocolate|None|3.5 ounces|3.06
Perugina Milk Chocolate, with Almonds|None|3.5 ounces|3.06
Near East Whole Grain Blends Chicken & Herb Flavor|None|5.7 ounces|3.06
Boars Head Butcher Craft Beef Jerky, London Broil Seasoned|None|2 ounces|5.10
San Pellegrino Beverage, Sparkling Blood Orange|None|6|6.38
Green Valley Organic Blueberry Lactose Free Lowfat Yogurt|None|6 ounces|2.03
Near East Couscous Mix, Parmesan|None|5.9 ounces|3.06
Ruffles Baked! Original Potato Crisp|None|6.25 ounces|3.36
Golden Curry Sauce Mix, Golden Curry, Mild|None|3.5 ounces|3.57
Bubbies Sauerkraut|None|25 ounces|7.15
Rice Select Rice, Kasmati|None|32 ounces|7.15
Amore Pesto Paste|None|2.8 ounces|5.10
Organic Valley Greek Style Feta Cheese|None|8 ounces|4.99
Earth Balance Soy Free Buttery Spread|None|15 ounces|5.10
Izze Juice Beverage Blend, Sparkling Clementine|None|4|5.72
Lantana Hummus, Black Bean|None|10 ounces|4.28
Honest Black Tea, Assam|None|16 ounces|2.08
Bragg Organic Unfiltered Raw Apple Cider Vinegar|None|32 ounces|8.17
Frontera Salsa, Mexicana, Red Tomato, Mild|None|16 ounces|4.08
Ritter Sport Milk Chocolate, with Praline Filling|None|3.5 ounces|4.06
Wasa Crispbread, Flax Seed|None|7.6 ounces|3.06
SkinnyPop Popcorn, Sea Salt & Pepper|None|4.4 ounces|3.88
Barilla Penne, Gluten Free|None|12 ounces|3.36
Boar's Head Cracked Pepper Mill Smoked Turkey Breast|9.71|None|None
Traditional Medicinals Herbal Tea, Organic, Smooth Move, Caffeine Free, Wrapped Tea Bags|None|16|5.10
Wholesome Blue Agave, Organic, Raw|None|23.5 ounces|9.19
Ka Me Duck Sauce|None|8.5 ounces|3.36
Amys Bowls Tortilla Casserole & Black Beans|None|9.5 ounces|6.12
Traditional Medicinals Herbal Tea, Organic, Throat Coat, Caffeine Free, Wrapped Tea Bags|None|16|5.10
Amys Burrito, Gluten Free, Black Beans & Quinoa|None|5.5 ounces|3.57
Kitchen Basics Seafood Stock, Original, for Cooking|None|32 ounces|3.36
RUBSCHLAGER Rye-Ola 100% Rye Bread, Sunflower|None|None|2.55
Lifeway Kefir, Nonfat, Unsweetened|None|32 ounces|4.08
Boars Head Take Along Snack, Sopressata, Picante Provolone Cheese|None|4 ounces|5.10
Bobs Red Mill Hazelnut Meal/Flour, Finely Ground|None|14 ounces|15.33
Boars Head Take Along Snack, Genoa Salame, Picante Provolone Cheese|None|4 ounces|5.10
Boars Head Mustard, Honey|None|10.5 ounces|4.08
Boars Head Horseradish Sauce, Pub style|None|9.5 ounces|4.08
Twinings Black Tea, 100% Pure, Ceylon Orange Pekoe, Tea Bags|None|20|3.57
Twinings Classics Black Tea, Prince of Wales, Bags|None|20|3.57
Tomatoes Heirloom Mixed Variety|1.59|None|None
Fage Total Nonfat Strained Greek Yogurt with Cherry|None|5.3 ounces|1.73
Cholula Hot Sauce, Chili Lime|None|5 ounces|3.67
Tofurky Beer Brats|None|14 ounces|5.10
Fage Total Yogurt, Greek, Lowfat, Strained, with Key Lime|None|5.3 ounces|1.73
Boars Head Salame, Genoa|None|9 ounces|7.15
Fage Total Non-fat Raspberry Greek Yogurt|None|5.3 ounces|1.73
Sushi Chef Nori|None|5|5.10
Tumaros Low-In-Carb Wraps, Sundried Tomato Basil|None|8|4.08
Ghirardelli Ground Cocoa, Sweet|None|10.5 ounces|6.33
Bragg Unfiltered Raw Organic Apple Cider Vinegar|None|16 ounces|5.10
Tumaros Low-In-Carb Wraps, 9 Grain with Chia|None|8|4.08
Tofutti Better Than Cream Cheese Imitation Cream Cheese, Plain|None|8 ounces|3.06
Frontera Salsa, Mango Key Lime, Medium|None|16 ounces|4.08
Daiya Cream Cheese Style Spread, Chive & Onion|None|8 ounces|5.51
Naked 100% Juice, Orange Mango|None|15.2 ounces|4.08
Wholesome Organic Unsulphured Molasses|None|16 ounces|6.12
Boars Head Brunckhorst's Salame, with White Wine|None|8 ounces|7.15
Boars Head Panino, Insalata|None|8 ounces|5.92
Boars Head Pepperoni, Traditional|None|6.5 ounces|5.10
Fage Total Yogurt, Greek, Nonfat, Strained, with Strawberry|None|5.3 ounces|1.73
GTs Enlightened Kombucha, Organic & Raw, Multi-Green|None|16.2 ounces|3.88
Fage Total Nonfat Strained Greek Yogurt with Honey|None|5.3 ounces|1.73
Fage Total Lowfat Strained Greek Yogurt with Honey|None|5.3 ounces|1.73
Boars Head Salame, Peppered|None|8 ounces|6.43
Knorr Gravy Mix, Roasted Chicken|None|1.2 ounces|1.52
Knorr Gravy Mix, Roasted Turkey|None|1.2 ounces|1.52
Greek Gods Yogurt, Greek, Honey Salted Caramel|None|24 ounces|4.69
Stonefire Naan, Tandoor Baked, Whole Grain|None|8.8 ounces|2.65
Pataks Original Chutney, Sweet Mango, Mild|None|12 ounces|5.82
Cento Clam Juice|None|8 ounces|3.26
Honest Green Tea, Organic, Moroccan Mint|None|16 ounces|2.08
Pataks Original Chutney, Major Grey, Mild|None|12 ounces|5.10
Pom Wonderful 100% Juice, Pomegranate Cherry|None|16 ounces|4.80
Hero Nectar, Guava|None|1 liter|5.50
Kikkoman Rice Seasoning, Sweet Cooking, Manjo Aji-Mirin|None|10 ounces|5.10
Amys Organic Chili, Organic, Medium with Vegetables|None|14.7 ounces|4.08
Amys Chili, Organic, Medium|None|14.7 ounces|4.08
Haagen Dazs Ice Cream, Pineapple Coconut|None|14 ounces|5.10
Bobs Red Mill Finely Ground Tapioca Flour|None|20 ounces|4.09
Maple Hill Creamery Yogurt, Cream on Top, Plain|None|32 ounces|6.02
Amys Indian Vegetable Korma|None|9.5 ounces|6.12
Cheetos Cheese Flavored Snacks, Crunchy|None|3.5 ounces|1.52
Amys Indian Mattar Tofu|None|9.5 ounces|6.12
Lay's Baked! Potato Crisps Original|None|None|3.36
Colavita Olive Oil, Extra Virgin|None|3 liters|30.66
Mancini Peppers, Roasted, Sweet|None|12 ounces|4.28
Alessi Balsamic Reduction, Premium|None|8.5 ounces|5.31
Horizon Organic Lowfat Chocolate Milk|None|8|1.73
Streits Matzo Ball Mix|None|4.5 ounces|3.06
Knorr Gravy Mix, Classic Brown|None|1.2 ounces|1.52
Horizon Organic Milk, Lowfat, Strawberry|None|8 ounces|1.73
Cardinis Dressing, Light, Balsamic Vinaigrette|None|12 ounces|4.08
Dannon Yogurt, Lowfat, Vanilla|None|32 ounces|4.08
Muir Glen Organic Tomatoes, Peeled, Ground|None|28 ounces|3.57
Cardinis Gourmet Dressing, The Original Caesar|None|12 ounces|4.08
Lundberg Organic Rice Cakes, Organic, Cinnamon Toast|None|9.5 ounces|4.69
Lundberg Rice Cakes, Organic, Caramel Corn|None|9.4 ounces|4.69
Manischewitz Egg Noodles, Fine|None|12 ounces|2.55
Amore Garlic Paste|None|3.2 ounces|5.10
Ritter Sport Dark Chocolate, with Marzipan|None|3.5 ounces|4.06
Filippo Berio Olive Oil|None|101 ounces|33.73
Twinings Green Tea, Bags|None|20|3.57
Annies Naturals Naturals, Organic, Goddess|None|8 ounces|4.80
Dannon Yogurt, Nonfat, Plain|None|32 ounces|4.08
Annie's Naturals Organic Cowgirl Ranch Dressing|None|8 ounces|4.80
Teas Tea Organic Green Tea, Pure & Smooth, Unsweetened|None|16.9 ounces|2.55
Amy's Black Bean Tamale Verde|None|10.3 ounces|6.02
Annies Dressing, Cowgirl Ranch|None|8 ounces|4.39
Cardinis Dressing, Light, Greek Vinaigrette|None|12 ounces|4.08
